ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision,anio,trimestre,cve_ent
19.0,6020,47.9609796596098,0.3349937733499377,0.3349937733499377,0.4590655412573221,0.0924182455948155,Media,7227,,False,Varianza no estimable,2023,3,
20.0,2580,26.299883684043564,0.0895632864544781,1.0,0.6204927566881675,0.0311954585154406,Alta,9457,,False,Varianza no estimable,2023,3,
21.0,3096,34.463769219059216,0.126376414472015,0.9292637134013296,0.6329899697231102,0.0193611353262397,Alta,39414,,False,Varianza no estimable,2023,3,
22.0,6450,47.75688073394495,0.3607172643869891,0.5642201834862385,0.4721990547678621,0.0434395967841492,Alta,4796,,False,Varianza no estimable,2023,3,
23.0,6000,27.34800409416581,0.0,1.0,0.5015353121801432,0.0634995797716574,Alta,977,,False,Varianza no estimable,2023,3,
24.0,5160,41.086849432426646,0.2169629470978796,0.7368815592203898,0.5414435639323195,0.0618298468089319,Alta,9338,,False,Varianza no estimable,2023,3,
25.0,6450,40.74628682736791,0.0949598246895544,0.3139355571788004,0.2880718556394232,0.0438000026992544,Media,24642,,False,Varianza no estimable,2023,3,
26.0,6880,42.4092411902266,0.171357148617047,0.5686234981049916,0.3634653119372093,0.0566541700647361,Media,24802,,False,Varianza no estimable,2023,3,
27.0,3440,27.91926516799613,0.1474498428813149,0.8015470147449842,0.5835146241237611,0.0426470211275516,Alta,4137,,False,Varianza no estimable,2023,3,
28.0,6000,33.51830522418758,0.2821883998354586,0.7178116001645414,0.5726038667215138,0.0521846167583811,Alta,2431,,False,Varianza no estimable,2023,3,
29.0,3870,41.57903780068729,0.2866552119129438,0.8719931271477663,0.678598701794578,0.0397061088906639,Alta,3492,,False,Varianza no estimable,2023,3,
30.0,4300,31.841319322238423,0.1011614460254411,0.8270903514505505,0.5880302344679639,0.055473774227138,Alta,19889,,False,Varianza no estimable,2023,3,
31.0,6450,41.21837026447462,0.312723373838456,0.5453895639742673,0.4397188467953299,0.1317082067699559,Alta,2798,,False,Varianza no estimable,2023,3,
32.0,5375,36.353540950903245,0.1631386456832539,0.9358306549927962,0.5915623037422882,0.0240025188150531,Alta,9023,,False,Varianza no estimable,2023,3,
1.0,4300,41.35239852398525,0.2607626076260763,0.8013530135301353,0.5612956129561295,0.0555885000929513,Alta,1626,,False,Varianza no estimable,2024,3,
2.0,8170,39.880577607445936,0.1733506706816315,0.4544210238160416,0.3620083949265443,0.0331429514142417,Media,14612,,False,Varianza no estimable,2024,3,
3.0,7740,40.64237106017192,0.0911532951289398,0.478689111747851,0.3401981852913084,0.0657697434517673,Alta,5584,,False,Varianza no estimable,2024,3,
4.0,6000,39.11111111111111,0.3177476118652589,0.8602312719959779,0.5602480308362661,0.0680697532130989,Alta,1989,,False,Varianza no estimable,2024,3,
5.0,8600,40.00581113801453,0.3578692493946731,0.4595641646489104,0.4261501210653753,0.0919668918103154,Alta,2065,,False,Varianza no estimable,2024,3,
6.0,7740,40.45777836973895,0.2361481086840703,0.7072456046883324,0.4565352512875155,0.045262754521155,Alta,7508,,False,Varianza no estimable,2024,3,
7.0,4500,42.74246438032505,0.2198754206343524,0.7664494880790435,0.6423713037874991,0.0191340287400857,Alta,13967,,False,Varianza no estimable,2024,3,
8.0,7310,41.09262915432708,0.1982560052648897,0.7979598552155314,0.5157398266973785,0.0477394698707064,Alta,18234,,False,Varianza no estimable,2024,3,
9.0,0,55.4369247428262,0.8722252301028695,1.0,0.9574084100342898,0.0461641313471822,Alta,1847,,False,Varianza no estimable,2024,3,
10.0,6000,39.3019899103139,0.1984304932735426,0.468189461883408,0.4050355007473841,0.0782610055758755,Alta,7136,,False,Varianza no estimable,2024,3,
11.0,5805,41.449898355931865,0.2334063591686896,0.5507529555726607,0.4982138275406082,0.0512842514482142,Alta,50667,,False,Varianza no estimable,2024,3,
12.0,1290,17.04461087593618,0.0,1.0,0.6666666666666666,0.0,Alta,3071,,False,Varianza no estimable,2024,3,
13.0,3225,27.6501219224416,0.2008967198930228,0.9526468968772124,0.6922572694617058,0.0191158724348741,Alta,12713,,False,Varianza no estimable,2024,3,
14.0,7654,41.71871791748595,0.0339313368946736,0.5742052236858132,0.3693179511272744,0.0483440751473947,Media,57469,,False,Varianza no estimable,2024,3,
15.0,4300,42.64256118712662,0.1231451146656388,0.9142898439005588,0.6511209610072589,0.0307665600335192,Alta,20756,,False,Varianza no estimable,2024,3,
16.0,6450,33.36816723863356,0.113765336563264,0.8732252203754794,0.5541125541125541,0.0275555529749658,Alta,44583,,False,Varianza no estimable,2024,3,
17.0,0,40.93922222222222,0.1322222222222222,0.7344444444444445,0.5987407407407407,0.0560966711249366,Alta,9000,,False,Varianza no estimable,2024,3,
18.0,7740,34.56827111984283,0.080795677799607,0.8023084479371316,0.4305828421741978,0.0510622396696698,Alta,4072,,False,Varianza no estimable,2024,3,
19.0,6450,38.94492627927147,0.0745880312228968,0.5442324371205551,0.4396501879155825,0.10009451118989,Alta,4612,,False,Varianza no estimable,2024,3,
20.0,3010,14.78396496245978,0.1145870575616732,1.0,0.6727446073173639,0.0361218401608369,Alta,11188,,False,Varianza no estimable,2024,3,
21.0,3225,34.558797489523286,0.0654179865032364,0.8508666653550279,0.5734288206399486,0.0453554837106867,Alta,50827,,False,Varianza no estimable,2024,3,
22.0,6450,44.37224475401164,0.1595838476459178,0.4563569035443484,0.4205019690824663,0.0689078061883912,Alta,5671,,False,Varianza no estimable,2024,3,
23.0,1720,14.269476372924649,0.0,1.0,0.5862068965517241,0.0748380084893736,Alta,783,,False,Varianza no estimable,2024,3,
24.0,5160,33.99880985718286,0.0992019042285074,0.7525203024362924,0.5095678148044432,0.0477137720176656,Alta,14284,,False,Varianza no estimable,2024,3,
